"EntityUrn","CiteUrn","CtsUrn","Text","Notes"
"urn:cite:digAth:mentions.auth1","urn:cite:digAth:authors.auth1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@ἄνδρας[1]-1.1@συγγεγραφότας[1]","ἄνδρες ἱστορίας συγγεγραφότες",""
"urn:cite:digAth:mentions.auth2","urn:cite:digAth:authors.auth2","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@ποιητὰς[1]","ποιηταί",""
"urn:cite:digAth:mentions.auth3","urn:cite:digAth:authors.auth3","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@φιλοσόφους[1]","φιλόσοφοι",""
"urn:cite:digAth:mentions.auth4","urn:cite:digAth:authors.auth4","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@οἱ[1]-1.1@ῥήτορες[1]","οἱ ῥήτορες",""
"urn:cite:digAth:mentions.auth5","urn:cite:digAth:authors.auth5","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[1]-1.2@ποιητῶν[1]","οἱ μετ᾽ Ἀρχίλοχον ποιηταί",""
"urn:cite:digAth:mentions.auth6","urn:cite:digAth:authors.auth6","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[7]-1.2@Ἀκαδημαικῶν[1]","οἱ Ἀκαδημαικοί",""
"urn:cite:digAth:mentions.auth7","urn:cite:digAth:authors.auth7","urn:cts:greekLit:tlg0008.tlg001.berti:1.3@ὁ[1]-1.3@Ἀθήναιος[1]","ὁ Ἀθήναιος",""
